"user_id";"user_regdate";"username"
"40733";"1340760048";"TheXbaSt"
"40731";"1340758719";"Lamuva"
"40732";"1340759969";"F3Lk3r"
"41623";"1346667422";"bob"
"41632";"1346777484";"Meck1832"
"41625";"1346681006";"Shaddey"
"41626";"1346697935";"keiranos"
"41627";"1346698004";"kiwi1233"
"41628";"1346699138";"PeteMaru"
"51352";"1424610906";"grominet57"
"40730";"1340749886";"tyronewaw"
"40726";"1340744631";"panzermonkey"
"30055";"1269491510";"michiman57"
"41421";"1345232506";"LastResort"
"41642";"1346858173";"AdjNore"
"41643";"1346858881";"facedecoincoin"
"42442";"1353425749";"adamsidlow"
"42412";"1353216061";"razielhd"
"40729";"1340747923";"AloysWaw"
"40728";"1340747684";"Barard"
"40727";"1340747005";"RimePoly"
"30031";"1269291684";"-Ancient-Goddess"
"40725";"1340743404";"elle93"
"41138";"1343309692";"rajat"
"30024";"1269266152";"Enclave"
"40724";"1340742791";"skihadi"
"41450";"1345414011";"Achterbahnschnitzel"
"41451";"1345414252";"Jukila"
"40985";"1342198232";"lorddjarn"
"40723";"1340738268";"Guiguilj"
"30013";"1269174845";"Kasowicz"
"30020";"1269209469";"Brooksy"
"30005";"1269111829";"Jakob"
"29990";"1269004688";"willpower"
"40722";"1340735039";"Sacae"
"40721";"1340734496";"Rtzonline"
"29998";"1269037721";"kesha"
"29978";"1268784577";"ThatGuy"
"29979";"1268789873";"WildBerry"
"40720";"1340734188";"RirI"
"29969";"1268665678";"scass"
"29970";"1268666065";"Darkwolf3"
"40914";"1341765961";"JaiTuKan"
"29943";"1268401288";"[Rw]karma"
"48758";"1402726877";"nicoxx"
"49581";"1409431480";"sylnai"
"44035";"1365242922";"ArcherGod"
"44015";"1365037524";"chull1187"
"44092";"1365529828";"riskown"
"40915";"1341766029";"Xicax"
"40916";"1341766490";"Owentomthomas"
"29937";"1268262648";"yopker123"
"29933";"1268253257";"Ganso91"
"40330";"1338236894";"Oldgamer"
"40331";"1338237134";"appels"
"41238";"1343924611";"Morbose"
"41239";"1343924626";"OttomanEmpire15"
"47458";"1390605825";"TheMisterLake"
"46970";"1386807338";"anst1ssa"
"46971";"1386807569";"damo__246"
"42413";"1353220439";"Shyuuga"
"30796";"1274708477";"mhnami"
"43433";"1360771693";"aras"
"44314";"1367381728";"unit00"
"45148";"1373489512";"ecovald"
"39601";"1333441032";"Overlord"
"39553";"1333158100";"Insane"
"39555";"1333160407";"krystianr"
"43709";"1362930182";"SwordfishII"
"43710";"1362930410";"oakeyo"
"43711";"1362932059";"Pyr"
"43860";"1364037648";"dolldin"
"40718";"1340721274";"Mario205"
"43348";"1360213767";"Dragonwar721"
"43349";"1360224318";"maksuihin"
"29908";"1268089182";"abner"
"29909";"1268092818";"ArthurMikhael"
"40934";"1341862275";"SenadorSelaht"
"41389";"1345020884";"Blown"
"41390";"1345022187";"wikp"
"29884";"1267900106";"helor"
"29883";"1267899724";"Tomidevil_NL"
"40800";"1341174833";"Leoyancsura"
"40715";"1340658763";"Atticus-Macbeth"
"29870";"1267827554";"palarlap"
"40712";"1340652566";"firvst"
"40713";"1340654830";"solidsnake66"
"40714";"1340657546";"Knightrider"
"43832";"1363788600";"jackscrew"
"44384";"1367935628";"z_leo_z4"
"44385";"1367935633";"xXchukiXx"
"40710";"1340645593";"hubik"
"40711";"1340645733";"batminus"
"29827";"1267399610";"jtreynold"
"29830";"1267458886";"marko"
"40707";"1340645170";"DeathMole"
"40708";"1340645531";"JDExeterFC"
"40709";"1340645581";"MaximilianJ1993"
"40704";"1340641273";"EYTYQI32323"
"40703";"1340638735";"amarsero"
"41197";"1343713831";"zain786"
"41198";"1343715595";"StarVortex"
"41199";"1343715774";"Jensen"
"29801";"1267285446";"EnRxXx"
"29806";"1267308624";"Replicatorz"
"39413";"1331962978";"madreefer"
"41281";"1344144013";"alecris111"
"29809";"1267329608";"blackitz"
"29813";"1267376153";"The_Cat"
"29787";"1267197861";"icemankimi"
"40693";"1340555409";"Squall89"
"40694";"1340557116";"Tidus89"
"40702";"1340636753";"Thundragon"
"43876";"1364074718";"CasusU"
"43877";"1364075074";"Tanky"
"43878";"1364075812";"ellipse2411"
"43707";"1362924391";"99_Jan_66"
"43708";"1362928970";"Kagegutz"
"40695";"1340564723";"saru"
"29780";"1267134272";"Argy3489"
"40757";"1340870115";"ikdennisik"
"40692";"1340554608";"goblingift"
"40691";"1340549328";"RedThunder21"
"40696";"1340569184";"oevp111"
"40690";"1340548496";"astott"
"29771";"1267019237";"sumsum"
"40716";"1340662684";"jack_of_blades93"
"40960";"1342045636";"mykul60"
"40959";"1342039447";"dzik1"
"29764";"1266931202";"Kollboy"
"29752";"1266850631";"Lance"
"29755";"1266873466";"Mikapsp"
"40687";"1340538143";"wuwei"
"40777";"1341040007";"Azastar"
"40698";"1340577379";"lukasx15"
"40699";"1340584421";"wait90"
"45099";"1373283736";"Dunchui"
"40697";"1340576465";"mike1"
"40685";"1340537005";"kingdoryn"
"40686";"1340537366";"jij_leert"
"29717";"1266593289";"itAchi"
"47428";"1390321449";"humvee123"
"47429";"1390322614";"artemis"
"47430";"1390323232";"bobbystyle89"
"46751";"1384703756";"Xxx_kjrl02_xxX"
"46752";"1384704464";"Yehoshua"
"40338";"1338301564";"FafikSmok"
"29721";"1266632345";"[SW]dominant"
"46975";"1386853076";"Garrett"
"40345";"1338354951";"N1cc3"
"40346";"1338355056";"Keny"
"40347";"1338357406";"netsflex"
"40349";"1338372068";"popilous"
"40350";"1338372821";"Jcave01"
"29683";"1266392031";"K73SK"
"46919";"1386312631";"Gaston8000"
"40682";"1340508832";"Leonidas"
"29675";"1266271129";"MasterJawa"
"41030";"1342393557";"Shadowray1"
"41031";"1342393947";"Shadowray"
"40683";"1340509032";"QueenAmbrose"
"29643";"1266065782";".broly94."
"40681";"1340493969";"ibnu"
"29636";"1266014255";"Krasz"
"29639";"1266030730";"Sham4n"
"40679";"1340485947";"WhiteNight13"
"29632";"1266004147";"mangoluffs"
"41183";"1343572327";"spinkki"
"29628";"1265994722";"[Fr]Eywa_ngahu"
"45125";"1373397908";"Baffsie"
"43413";"1360607274";"max1308"
"40678";"1340484873";"jacodv"
"40676";"1340468695";"reprisaluniverse"
"41184";"1343573758";"ChristianFi"
"29622";"1265906759";"tHe_laW"
"41223";"1343868004";"warship"
"41285";"1344176351";"mychunkster"
"42410";"1353201654";"FeedeSk8"
"40667";"1340427436";"pwnertheleader"
"40668";"1340430490";"dipratsi"
"52484";"1431633390";"kylan"
"52485";"1431635707";"jav9401"
"52797";"1433170378";"Frankjes69"
"51389";"1424734431";"drazek93"
"40671";"1340462145";"alexia"
"40672";"1340465423";"xxscottytxx"
"29605";"1265738085";"Jewman"
"29607";"1265741993";"SKER"
"29594";"1265643718";"adan409"
"40675";"1340467649";"fuck_ferdy"
"40674";"1340465749";"rahitos911"
"40673";"1340465445";"phil_matthews"
"40659";"1340387896";"fabnad"
"40660";"1340391575";"laymose"
"40663";"1340400025";"Daragaz"
"40664";"1340400494";"Whisky"
"29568";"1265499572";"DEATH_METAL"
"29558";"1265475484";"Daar"
"41411";"1345149086";"diesper"
"40655";"1340376411";"happyboy"
"40656";"1340376500";"firelim"
"40657";"1340378379";"derpington2233"
"40759";"1340895617";"Aldana90"
"41212";"1343810312";"Zat23"
"29537";"1265290730";"zombehunter"
"47530";"1391136274";"Micee"
"46934";"1386520916";"Gelut"
"47612";"1391824195";"Michel"
"46691";"1384190151";"ArabChief"
"40367";"1338493307";"Ahuitzotl"
"29523";"1265139134";"grimgorg"
"50435";"1418157309";"krzychu11"
"41339";"1344614824";"ACROM"
"40653";"1340363207";"populousman"
"40816";"1341317981";"w_ming_w"
"40817";"1341318587";"yshaman"
"40652";"1340359586";"zaxez"
"41359";"1344763079";"mahan"
"29502";"1265047705";"[TDM]Pain"
"49451";"1408472714";"samael32"
"44489";"1368615773";"mikenator"
"44490";"1368622742";"Resinfire"
"44491";"1368626791";"Blackshaman"
"44492";"1368626998";"Xeder"
"44493";"1368630511";"JonnyBash"
"40649";"1340330022";"diosmismo"
"40650";"1340340805";"Octane"
"40648";"1340325559";"NoobyPower"
"29468";"1264841452";"[Rw]Biggy"
"43283";"1359772611";"BlackFen"
"45105";"1373312978";"HeyTeacher"
"45106";"1373315215";"TheOne"
"45117";"1373374546";"Talon"
"39412";"1331960680";"JakeTheMus"
"29458";"1264707437";"Kr00w"
"40647";"1340324877";"Miner"
"40646";"1340313452";"Death_Shaman"
"29448";"1264583099";"chn_myc"
"40645";"1340308479";"natsu"
"29434";"1264442475";"[GoD]TheSent"
"47379";"1389747908";"Skytiger62"
"46683";"1384132971";"Limited_Piko"
"45067";"1373051227";"salvia0407"
"45068";"1373051246";"Cryder2"
"45118";"1373379569";"Mat04"
"44678";"1370113390";"shepard444"
"29436";"1264464124";"Nico"
"49676";"1410612951";"alvarojoker"
"49677";"1410613271";"JaviG"
"50102";"1414714181";"zkapr"
"50101";"1414709178";"mystigate"
"29427";"1264412123";"GyLala999"
"41495";"1345726391";"Katochimoto"
"42409";"1353196136";"Hikatto88"
"44513";"1368870346";"Vladamire"
"45162";"1373594102";"emmix"
"45163";"1373594968";"Levity99x"
"43879";"1364078423";"llLeFuFuLP"
"41476";"1345566603";"Metaldevil"
"43347";"1360193828";"Jordison_Alan"
"40627";"1340142871";"Tanteee"
"40628";"1340147995";"Barbosandre"
"40629";"1340156899";"rouelle"
"40893";"1341678903";"tesseract"
"40895";"1341688803";"c-flag"
"40896";"1341688960";"Arespopolus"
"40630";"1340197178";"TheGrox1111"
"42407";"1353177295";"MultiKillNL"
"42408";"1353178416";"frechamx1996"
"54213";"1439818227";"maniaquel"
"54214";"1439819962";"Maxiliase"
"54215";"1439823363";"kungfusheep"
"54216";"1439824425";"MEDUZ"
"45696";"1377390236";"TheDoctor"
"45697";"1377394831";"Dookeysmathers"
"44488";"1368597822";"Renatto"
"40631";"1340212360";"asd123"
"40632";"1340212430";"Rodrys"
"29367";"1264011123";"TUBZ"
"29369";"1264072152";"raduser"
"40642";"1340299344";"mcklem"
"40643";"1340300726";"Inca_get_banned"
"40644";"1340307886";"juan27ivan"
"29357";"1263940691";"Dankia"
"40635";"1340221594";"kmiilo"
"40637";"1340253525";"5m0okt"
"40717";"1340715704";"Hyengh"
"40633";"1340213126";"Ferinus"
"29321";"1263745097";"bookah"
"29323";"1263747069";"wildherz"
"41301";"1344250651";"fafikaktus"
"40623";"1340123815";"testname"
"41157";"1343425740";"[TSI]DevilKazuya"
"44257";"1366893078";"zimodrag97"
"44230";"1366638132";"weedman1"
"29317";"1263721660";"ramex"
"41318";"1344354160";"Aredhel"
"41319";"1344354316";"Lanzu91"
"29305";"1263639576";"caveman"
"39411";"1331944181";"SoplaTierraa"
"40965";"1342064175";"M-Muller"
"40620";"1340058018";"Marcmr88"
"40618";"1340048340";"Daboerrr"
"40619";"1340049573";"ruben"
"41463";"1345492582";"MStronghold"
"29278";"1263317433";"Toruk_Makto"
"52990";"1434188311";"Feffi2010"
"52632";"1432414454";"Zarzebeu"
"51387";"1424732419";"ezequiel"
"51388";"1424732705";"ezequiel21265"
"42468";"1353595590";"yellowpumkin92"
"42450";"1353493192";"lisos92"
"40719";"1340733627";"Gavreg1213"
"29265";"1263142356";"Battleordie"
"41161";"1343475808";"Prohundred"
"41162";"1343476452";"Stratonuke"
"41437";"1345322524";"jack314"
"29270";"1263213362";"Domjnyke"
"40622";"1340107854";"Pan"
"47528";"1391130901";"Turolla"
"46296";"1381146635";"Skyler_Everett"
"46297";"1381153089";"denon11"
"44404";"1368046617";"lothies"
"44405";"1368048765";"Rafa5ilva"
"44406";"1368062894";"ARPerez21"
"40617";"1340048053";"Michielscs"
"41331";"1344510201";"aravinth12"
"40616";"1340047887";"Daboer"
"41387";"1344989345";"Kiam"
"44487";"1368593078";"QamuInaKur"
"43702";"1362914585";"HoliShizzle"
"43703";"1362915145";"rickanri1"
"43704";"1362915200";"rickanri24"
