map,length,fights_won,fights_lost,followers_killed,buildings_destroyed,shamans_killed,followers_lost,buildings_lost,shaman_deaths,value,good
19,1728,21,19,35,0,0,75,10,4,0.533333333333,True
19,1732,24,5,74,10,0,38,0,7,0.533333333333,True
29,720,9,3,83,6,0,15,0,2,0.6,True
29,725,3,8,3,0,0,71,6,2,0.6,True
29,1446,10,6,133,4,0,74,0,2,0.466666666667,False
29,1459,7,3,70,8,0,136,0,5,0.466666666667,False
19,1545,4,0,35,10,0,25,2,2,0.466666666667,False
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
16,1083,39,19,49,0,0,39,9,5,0.466666666667,False
16,1098,33,30,45,9,0,55,0,1,0.466666666667,False
30,744,0,0,0,0,0,0,0,0,0.466666666667,False
30,743,8,33,13,2,0,59,9,7,0.466666666667,False
30,725,36,1,57,11,0,14,0,2,0.466666666667,False
30,743,0,0,0,0,0,0,0,0,0.466666666667,False
16,0,0,0,0,0,0,0,0,0,0.466666666667,False
16,682,0,0,0,0,0,0,0,0,0.466666666667,False
29,1028,0,0,0,0,0,0,0,0,0.466666666667,False
29,1027,9,44,12,4,0,82,7,9,0.466666666667,False
29,1008,0,0,0,0,0,0,0,0,0.466666666667,False
29,1015,44,7,80,9,0,12,0,4,0.466666666667,False
16,1667,83,143,154,3,0,254,14,4,0.533333333333,True
16,1682,111,52,223,14,0,133,0,11,0.533333333333,True
17,539,43,3,67,20,0,12,0,2,0.4,False
17,550,6,64,12,0,0,67,19,2,0.4,False
27,1495,23,81,54,0,0,164,24,6,0.466666666667,False
27,1486,49,17,168,22,0,62,0,8,0.466666666667,False
27,1500,0,0,0,0,0,0,0,0,0.466666666667,False
27,1477,0,0,0,0,0,0,0,0,0.466666666667,False
29,596,1,1,31,9,0,2,0,0,0.6,True
29,597,1,1,1,0,0,31,9,2,0.6,True
16,0,0,0,0,0,0,0,0,0,0.533333333333,True
16,999,22,5,41,2,0,12,0,1,0.533333333333,True
16,805,0,0,0,0,0,0,0,0,0.466666666667,False
16,789,3,0,0,0,0,0,0,1,0.466666666667,False
29,1649,0,0,0,0,0,0,0,0,0.6,True
29,1640,59,83,108,5,0,208,18,19,0.6,True
29,1629,98,29,190,32,0,115,4,14,0.6,True
29,0,0,0,0,0,0,0,0,0,0.6,True
20,1402,72,12,88,24,0,36,2,4,0.466666666667,False
20,1399,22,48,48,5,0,108,22,9,0.466666666667,False
19,810,159,8,95,0,0,7,0,0,0.466666666667,False
19,820,11,97,7,0,0,95,0,1,0.466666666667,False
16,0,0,0,0,0,0,0,0,0,0.533333333333,True
16,1470,30,26,72,7,0,68,1,6,0.533333333333,True
30,3807,0,0,0,0,0,0,0,0,0.266666666667,False
30,3813,233,62,572,92,0,405,22,22,0.266666666667,False
30,3824,147,169,383,32,0,579,63,23,0.266666666667,False
30,3801,0,0,0,0,0,0,0,0,0.266666666667,False
20,719,1,0,3,0,0,0,0,0,0.466666666667,False
20,738,0,0,0,0,0,3,0,1,0.466666666667,False
17,585,1,0,8,0,0,0,0,0,0.6,True
17,0,0,0,0,0,0,0,0,0,0.6,True
16,0,0,0,0,0,0,0,0,0,0.733333333333,True
16,623,0,1,10,1,0,1,0,1,0.733333333333,True
20,0,0,0,0,0,0,0,0,0,0.6,True
20,1364,10,8,17,2,0,13,0,1,0.6,True
16,3067,140,101,489,61,0,484,39,17,0.533333333333,True
16,3043,158,105,473,54,0,494,50,25,0.533333333333,True
17,1447,0,0,0,0,0,0,0,0,0.466666666667,False
17,0,0,0,0,0,0,0,0,0,0.466666666667,False
18,0,0,0,0,0,0,0,0,0,0.533333333333,True
18,740,0,0,3,2,0,0,0,0,0.533333333333,True
672,578,0,0,2,0,0,9,0,2,0.533333333333,True
672,578,0,0,9,0,0,41,0,7,0.533333333333,True
27,1910,0,0,6,0,0,6,0,1,0.4,False
27,1554,0,0,0,0,0,0,0,0,0.4,False
27,1970,87,253,144,8,0,336,26,15,0.4,False
27,1955,199,41,337,32,0,154,1,11,0.4,False
19,3212,104,129,246,6,0,349,25,22,0.533333333333,True
19,3226,204,89,350,29,0,251,2,19,0.533333333333,True
20,932,38,6,49,18,0,29,1,2,0.533333333333,True
20,0,0,0,0,0,0,0,0,0,0.533333333333,True
20,0,0,0,0,0,0,0,0,0,0.533333333333,True
20,1080,38,10,95,12,0,29,3,2,0.533333333333,True
20,0,0,0,0,0,0,0,0,0,0.4,False
20,1198,14,7,32,5,0,24,2,2,0.4,False
193,2878,103,74,206,30,0,159,1,5,0.466666666667,False
193,2866,119,65,177,5,0,328,25,4,0.466666666667,False
16,734,22,13,55,6,0,21,0,3,0.533333333333,True
16,733,27,13,20,1,0,55,6,6,0.533333333333,True
17,1322,97,28,164,39,0,92,3,2,0.533333333333,True
17,1327,33,101,82,8,0,154,33,5,0.533333333333,True
195,2291,53,19,156,14,0,76,0,4,0.466666666667,False
195,2285,22,44,73,7,0,155,12,8,0.466666666667,False
16,670,4,47,8,0,0,44,4,2,0.533333333333,True
16,658,29,3,44,4,0,8,0,0,0.533333333333,True
16,0,0,0,0,0,0,0,0,0,0.533333333333,True
16,588,52,1,63,7,0,2,0,0,0.533333333333,True
16,897,3,0,11,2,0,0,0,1,0.6,True
16,0,0,0,0,0,0,0,0,0,0.6,True
29,1063,30,11,98,6,0,19,0,6,0.533333333333,True
29,1067,21,32,19,2,0,98,6,6,0.533333333333,True
17,1133,32,37,30,4,0,100,15,6,0.4,False
17,1128,36,9,97,14,0,29,0,2,0.4,False
27,822,24,3,17,4,0,37,4,4,0.466666666667,False
27,0,0,0,0,0,0,0,0,0,0.466666666667,False
27,815,0,0,0,0,0,0,0,0,0.466666666667,False
26,2566,0,0,2,0,0,0,0,1,0.466666666667,False
26,2549,187,131,336,51,0,390,4,18,0.466666666667,False
26,2543,229,118,374,15,0,354,27,19,0.466666666667,False
26,2552,3,0,1,0,0,3,0,1,0.466666666667,False
20,1858,5,2,100,15,0,14,0,3,0.533333333333,True
20,1849,10,2,14,0,0,100,13,3,0.533333333333,True
19,1401,5,6,34,10,0,10,1,2,0.466666666667,False
19,1394,38,1,10,2,0,34,5,8,0.466666666667,False
17,894,27,5,52,11,0,14,0,0,0.466666666667,False
17,891,6,27,8,1,0,50,10,2,0.466666666667,False
20,0,0,0,0,0,0,0,0,0,0.6,True
20,1337,24,15,76,7,0,31,0,4,0.6,True
902,607,7,0,0,0,0,0,0,2,0.533333333333,True
902,607,107,0,0,0,0,22,0,11,0.533333333333,True
902,481,44,0,0,0,0,0,0,3,0.533333333333,True
902,481,58,0,0,0,0,22,0,11,0.533333333333,True
17,630,24,32,40,9,0,61,2,4,0.533333333333,True
17,631,40,24,61,2,0,40,9,3,0.533333333333,True
19,1073,6,2,28,6,0,6,0,2,0.466666666667,False
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
370,4513,8,0,81,4,0,28,1,4,0.533333333333,True
370,0,0,0,0,0,0,0,0,0,0.533333333333,True
16,3339,22,10,36,1,0,200,0,7,0.533333333333,True
16,3337,9,20,101,0,0,131,0,5,0.533333333333,True
19,0,0,0,0,0,0,0,0,0,0.6,True
19,1544,32,31,90,7,0,62,5,10,0.6,True
19,967,9,5,33,3,0,8,3,2,0.466666666667,False
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
29,680,3,1,30,2,0,6,0,5,0.533333333333,True
29,653,9,2,6,0,0,35,0,4,0.533333333333,True
16,1837,63,48,97,10,0,55,1,3,0.466666666667,False
16,0,0,0,0,0,0,0,0,0,0.466666666667,False
17,925,74,13,85,12,0,16,0,1,0.466666666667,False
17,929,20,64,15,0,0,87,13,4,0.466666666667,False
16,481,0,0,0,0,0,6,0,1,0.533333333333,True
